"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2018 BE5)","2025-Jul-28 11:12 ± < 00:01","0.02777","0.02777","13.90","13.89","24.5","33 m -   75 m","0"
"(2025 OW)","2025-Jul-28 19:44 ± < 00:01","0.00423","0.00423","20.97","20.94","23.6","51 m -  110 m","2"
"(2025 OU2)","2025-Jul-28 22:07 ±    13:37","0.03432","0.03411","2.73","2.70","26.0","17 m -   38 m","0"
"(2025 ON1)","2025-Jul-30 02:59 ±    00:15","0.04133","0.04117","3.08","3.06","25.4","22 m -   50 m","0"
"(2025 OX3)","2025-Jul-30 16:04 ±    00:02","0.02529","0.02517","9.31","9.30","26.8","12 m -   26 m","0"
"(2025 OL1)","2025-Jul-30 16:29 ± < 00:01","0.01389","0.01384","7.56","7.53","25.0","26 m -   58 m","0"
"(2025 OD1)","2025-Jul-31 08:53 ±    01:05","0.02503","0.02467","12.34","12.33","24.6","32 m -   72 m","0"
"(2025 OR)","2025-Jul-31 15:34 ±    00:06","0.03274","0.03235","7.97","7.96","25.3","23 m -   51 m","0"
"(2025 OW3)","2025-Aug-03 17:36 ±    00:10","0.01974","0.01957","13.92","13.91","26.2","15 m -   34 m","0"
"(2025 OA3)","2025-Aug-04 02:42 ±    01:17","0.01529","0.01496","13.59","13.58","25.0","26 m -   59 m","0"
"(2025 OJ1)","2025-Aug-08 09:09 ±    00:23","0.03453","0.03398","14.22","14.21","22.9","69 m -  150 m","1"
"(2019 CO1)","2025-Aug-08 21:46 ± 3_20:46","0.04565","0.00602","10.55","10.54","23.7","48 m -  110 m","0"
"(2022 QB1)","2025-Aug-10 18:47 ± 4_18:05","0.02283","0.01480","3.85","3.82","28.9","4.4 m -  9.9 m","0"
"(2021 PJ1)","2025-Aug-15 04:38 ±    01:52","0.01119","0.01047","9.26","9.24","25.8","18 m -   40 m","0"
"(1997 QK1)","2025-Aug-20 10:25 ± < 00:01","0.02013","0.02013","9.83","9.82","20.3","240 m -  530 m","2"
"(2025 OB3)","2025-Aug-21 07:41 ±    02:32","0.02247","0.02215","6.99","6.98","24.3","36 m -   81 m","0"
"(2022 QD3)","2025-Aug-21 08:06 ± 4_14:46","0.03836","0.02923","6.90","6.89","25.1","26 m -   58 m","0"
"(2023 PX)","2025-Aug-22 11:21 ± 1_10:07","0.00621","0.00620","8.35","8.30","25.9","17 m -   39 m","1"
"(2019 QQ6)","2025-Aug-24 20:10 ± 2_08:15","0.02414","0.01530","17.16","17.15","25.3","23 m -   52 m","0"
"(2017 RK15)","2025-Aug-29 17:50 ±    00:03","0.04037","0.04030","13.20","13.20","25.7","19 m -   43 m","0"
"(2020 TS1)","2025-Aug-29 18:43 ±    19:47","0.04549","0.04541","3.27","3.25","29.2","3.8 m -  8.6 m","0"
"(1998 SH2)","2025-Aug-30 13:25 ± < 00:01","0.02078","0.02078","17.30","17.29","20.8","0.383±0.057 km","2"
"(2025 OG1)","2025-Sep-05 16:49 ±    05:02","0.03703","0.03635","4.17","4.15","25.1","25 m -   56 m","0"
"(2019 JG1)","2025-Sep-09 15:01 ±    00:38","0.04823","0.04822","7.90","7.90","26.6","13 m -   28 m","0"
"(2009 FF)","2025-Sep-11 17:31 ± < 00:01","0.01747","0.01747","12.93","12.91","21.8","120 m -  260 m","1"
"(2015 SA)","2025-Sep-13 02:45 ±    05:47","0.02631","0.01897","9.05","9.04","25.3","23 m -   52 m","0"
"(2022 SS2)","2025-Sep-13 15:22 ± 3_03:06","0.00609","0.00475","7.22","7.16","27.2","9.8 m -   22 m","0"
"(2025 FA22)","2025-Sep-18 07:42 ± < 00:01","0.00563","0.00563","10.79","10.74","21.7","120 m -  270 m","3"
"(2022 SW12)","2025-Sep-23 01:38 ± < 00:01","0.03838","0.03838","17.62","17.62","21.1","160 m -  350 m","1"
"(2021 RN16)","2025-Sep-23 22:07 ± 5_14:26","0.02592","0.00131","8.81","8.80","28.4","5.5 m -   12 m","0"
"(2018 QT1)","2025-Sep-23 23:19 ±    23:55","0.03322","0.03303","12.74","12.73","22.1","100 m -  230 m","1"
